generalized_domain,domain_A_queries,domain_AAAA_queries,company,Num,Domain,search_pattern,domain_CNAME_queries,searched_correctly
iot-coaps.cn-north-2.myhuaweicloud.com.,rrset/name/*.iot-coaps.cn-north-2.myhuaweicloud.com./A,rrset/name/*.iot-coaps.cn-north-2.myhuaweicloud.com./AAAA,'Huawei Technologies',,,,rrset/name/*.iot-coaps.cn-north-2.myhuaweicloud.com./CNAME,
iot-coaps.cn-north-3.myhuaweicloud.com.,rrset/name/*.iot-coaps.cn-north-3.myhuaweicloud.com./A,rrset/name/*.iot-coaps.cn-north-3.myhuaweicloud.com./AAAA,'Huawei Technologies',,,,rrset/name/*.iot-coaps.cn-north-3.myhuaweicloud.com./CNAME,
iot-coaps.ru-northwest-2.myhuaweicloud.com.,rrset/name/*.iot-coaps.ru-northwest-2.myhuaweicloud.com./A,rrset/name/*.iot-coaps.ru-northwest-2.myhuaweicloud.com./AAAA,'Huawei Technologies',,,,rrset/name/*.iot-coaps.ru-northwest-2.myhuaweicloud.com./CNAME,
iot-coaps.ru-northwest-1.myhuaweicloud.com.,rrset/name/*.iot-coaps.ru-northwest-1.myhuaweicloud.com./A,rrset/name/*.iot-coaps.ru-northwest-1.myhuaweicloud.com./AAAA,'Huawei Technologies',,,,rrset/name/*.iot-coaps.ru-northwest-1.myhuaweicloud.com./CNAME,
iot-coaps.eu-west-0.myhuaweicloud.com.,rrset/name/*.iot-coaps.eu-west-0.myhuaweicloud.com./A,rrset/name/*.iot-coaps.eu-west-0.myhuaweicloud.com./AAAA,'Huawei Technologies',,,,rrset/name/*.iot-coaps.eu-west-0.myhuaweicloud.com./CNAME,
iot-coaps.la-south-1.myhuaweicloud.com.,rrset/name/*.iot-coaps.la-south-1.myhuaweicloud.com./A,rrset/name/*.iot-coaps.la-south-1.myhuaweicloud.com./AAAA,'Huawei Technologies',,,,rrset/name/*.iot-coaps.la-south-1.myhuaweicloud.com./CNAME,
iot-amqps.cn-north-4.myhuaweicloud.com.,rrset/name/*.iot-amqps.cn-north-4.myhuaweicloud.com./A,rrset/name/*.iot-amqps.cn-north-4.myhuaweicloud.com./AAAA,'Huawei Technologies',,,,rrset/name/*.iot-amqps.cn-north-4.myhuaweicloud.com./CNAME,
iot-mqtts.af-south-1.myhuaweicloud.com.,rrset/name/*.iot-mqtts.af-south-1.myhuaweicloud.com./A,rrset/name/*.iot-mqtts.af-south-1.myhuaweicloud.com./AAAA,'Huawei Technologies',,,,rrset/name/*.iot-mqtts.af-south-1.myhuaweicloud.com./CNAME,
iot-mqtts.ap-southeast-2.myhuaweicloud.com.,rrset/name/*.iot-mqtts.ap-southeast-2.myhuaweicloud.com./A,rrset/name/*.iot-mqtts.ap-southeast-2.myhuaweicloud.com./AAAA,'Huawei Technologies',,,,rrset/name/*.iot-mqtts.ap-southeast-2.myhuaweicloud.com./CNAME,
iot-mqtts.ap-southeast-1.myhuaweicloud.com.,rrset/name/*.iot-mqtts.ap-southeast-1.myhuaweicloud.com./A,rrset/name/*.iot-mqtts.ap-southeast-1.myhuaweicloud.com./AAAA,'Huawei Technologies',,,,rrset/name/*.iot-mqtts.ap-southeast-1.myhuaweicloud.com./CNAME,
iot-mqtts.ap-southeast-3.myhuaweicloud.com.,rrset/name/*.iot-mqtts.ap-southeast-3.myhuaweicloud.com./A,rrset/name/*.iot-mqtts.ap-southeast-3.myhuaweicloud.com./AAAA,'Huawei Technologies',,,,rrset/name/*.iot-mqtts.ap-southeast-3.myhuaweicloud.com./CNAME,
iot-mqtts.cn-east-3.myhuaweicloud.com.,rrset/name/*.iot-mqtts.cn-east-3.myhuaweicloud.com./A,rrset/name/*.iot-mqtts.cn-east-3.myhuaweicloud.com./AAAA,'Huawei Technologies',,,,rrset/name/*.iot-mqtts.cn-east-3.myhuaweicloud.com./CNAME,
iot-mqtts.cn-east-2.myhuaweicloud.com.,rrset/name/*.iot-mqtts.cn-east-2.myhuaweicloud.com./A,rrset/name/*.iot-mqtts.cn-east-2.myhuaweicloud.com./AAAA,'Huawei Technologies',,,,rrset/name/*.iot-mqtts.cn-east-2.myhuaweicloud.com./CNAME,
iot-mqtts.cn-east-1.myhuaweicloud.com.,rrset/name/*.iot-mqtts.cn-east-1.myhuaweicloud.com./A,rrset/name/*.iot-mqtts.cn-east-1.myhuaweicloud.com./AAAA,'Huawei Technologies',,,,rrset/name/*.iot-mqtts.cn-east-1.myhuaweicloud.com./CNAME,
iot-mqtts.cn-north-1.myhuaweicloud.com.,rrset/name/*.iot-mqtts.cn-north-1.myhuaweicloud.com./A,rrset/name/*.iot-mqtts.cn-north-1.myhuaweicloud.com./AAAA,'Huawei Technologies',,,,rrset/name/*.iot-mqtts.cn-north-1.myhuaweicloud.com./CNAME,
